Record,Location,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,longitude,latitude
2015000097,HAIG DR @ PLEASANT PARK RD,2015-11-03,08:14:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6366104636,45.3939594445
2015000098,QUEEN MARY ST @ VANIER PKWY,2015-11-04,01:25:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,07 - SMV other,-75.6621524446,45.4244755695
2015000099,ALBION RD @ LESTER RD,2015-03-03,18:34:00,03 - Snow,05 - Packed snow,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,01 - Approaching,-75.6337284452,45.3376595153
2015000100,ORLEANS BLVD @ ST. JOSEPH BLVD,2015-11-11,17:18:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,-75.5301947016,45.4686570755
2015000101,GLADSTONE AVE @ LORETTA AVE,2015-11-11,19:26:00,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,-75.7157188778,45.4033578198
2015000102,BLAIR RD btwn APPLEFORD ST & DUNHAM ST,2015-04-02,19:50:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,01 - Approaching,-75.6118506438,45.4404495858
2015000103,GLADSTONE AVE @ CAMBRIDGE ST,2015-11-11,20:11:00,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7045603761,45.4075097167
2015000104,CATHCART ST btwn DALHOUSIE ST & CUMBERLAND ST,2015-04-17,14:48:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,-75.6938899176,45.4339625113
2015000105,RIVERSIDE DR @ SMYTH RD NORTH SIDE RAMP,2015-03-29,20:10:00,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.6679709808,45.4007629465
2015000106,CARLING AVE @ PRESTON ST,2015-01-16,15:45:00,01 - Clear,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7077131794,45.3976066766
2015000107,FISHER AVE btwn DEER PARK RD & KINTYRE PRIV,2015-11-12,08:09:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7130034215,45.3653151316
2015000108,HIGHWAY 417 btwn HWY417 IC121B RAMP16 & HWY417 IC121A RAMP16,2015-02-06,11:20:00,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7083868469,45.4035095883
2015000109,CONROY RD @ HUNT CLUB RD,2015-11-12,11:48:00,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6196744417,45.3651875762
2015000110,CARLING AVE @ CARLING RMP 35,2015-04-22,17:27:00,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7835265938,45.3644767857
2015000111,STITTSVILLE MAIN ST @ HAZELDEAN RD,2015-03-06,16:51:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.9295608886,45.2724541785
2015000112,RICHMOND RD @ EDGEWORTH AVE/MCEWEN AVE,2015-03-06,18:54:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7815576988,45.370648871
2015000113,RIVERSIDE DR SB btwn HWY417 IC117 RAMP53 & HWY417 IC117 RAMP52,2015-05-01,16:48:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6570380978,45.4152044551
2015000114,SUSSEX DR btwn 151 W OF KING EDWARD AVE/L.B. PEARSON BUILDING & RAMP,2015-05-02,09:05:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6969585455,45.4378554913
2015000115,METCALFE ST @ SOMERSET ST,2015-05-05,14:05:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6923550999,45.4170325855
